# t_sec x y z
3.28959 0.026878 0.565203 0.0160352
3.30039 0.0448986 0.561996 0.0137445
3.31118 0.03711 0.564439 0.014508
3.32198 0.0212276 0.579863 0.0160352
3.33277 0.0241292 0.600633 0.019395
3.34357 0.0448986 0.585972 0.020464
3.35437 0.0606283 0.571311 0.0180205
3.36516 0.0546724 0.606436 0.0198531
3.37596 0.0581849 0.635299 0.0218384
3.38675 0.0594066 0.669202 0.0209221
3.39755 0.069944 0.684627 0.0230601
3.40834 0.083383 0.671188 0.0270308
3.41914 0.0810923 0.630412 0.0250455
3.42993 0.0549778 0.568562 0.0262672
3.44073 0.0230601 0.540921 0.0197004
3.45153 -0.0190895 0.509461 0.0111483
3.46232 -0.0545197 0.451582 0.0131336
3.47312 -0.0737619 0.421955 0.00641408
3.48391 -0.0671951 0.470366 -0.000305432
3.49471 -0.0447458 0.546113 -0.0128282
3.5055 -0.0594066 0.544433 -0.000610865
3.5163 -0.0818559 0.498466 0.00992655
3.52709 -0.0949895 0.458607 0.0106901
3.53789 -0.0940732 0.437532 0.00870482
3.54868 -0.0891863 0.412181 0.0119119
3.55948 -0.0818559 0.385761 0.0094684
3.57028 -0.0759 0.366977 0.00885754
3.58107 -0.0623082 0.373849 0.00824667
3.59187 -0.0453567 0.402865 0.00962112
3.60266 -0.0342084 0.403934 0.0100793
3.61346 -0.0293215 0.377514 0.00824667
3.62425 -0.0212276 0.358883 0.00870482
3.63505 -0.00626136 0.367282 0.0103847
3.64584 0.0151189 0.36377 0.0106901
3.65664 0.034972 0.366213 0.0103847
3.66744 0.0476475 0.367893 0.0103847
3.67823 0.0584903 0.378431 0.00962112
3.68903 0.0723875 0.402713 0.0100793
3.69982 0.0829249 0.40821 0.00885754
3.71062 0.0975856 0.438295 0.00824667
3.72141 0.111941 0.452193 0.0111483
3.73221 0.124464 0.463952 0.0135917
3.743 0.136376 0.479682 0.0131336
3.7538 0.149815 0.496938 0.011301
3.7646 0.155923 0.521373 0.0135917
3.77539 0.157145 0.512821 0.0152716
3.78619 0.150273 0.496022 0.0128282
3.79698 0.146913 0.507476 0.0148135
3.80778 0.143248 0.50717 0.0149662
3.81857 0.13271 0.511599 0.0161879
3.82937 0.124922 0.529925 0.0222966
3.84016 0.118508 0.572991 0.0206167
3.85096 0.113926 0.624762 0.0174096
3.86175 0.104305 0.656832 0.0137445
3.87255 0.0948368 0.698982 0.00702494
3.88335 0.0862847 0.726166 0.0038179
3.89414 0.0662788 0.654389 0.0106901
3.90494 0.0415388 0.576351 0.0206167
3.91573 0.0284052 0.536492 0.022602
3.92653 0.0303905 0.550542 0.0103847
3.93732 0.0346666 0.579558 -0.00763581
3.94812 0.034972 0.617126 -0.0233656
